DriverPointsPerRace,TeamPointsPerRace,GridPosition,FinishPosition,PitStops,Stint1Length,Stint1Compound,Stint2Length,Stint2Compound,Stint3Length,Stint3Compound,Stint4Length,Stint4Compound,Laps,LengthKM,TurnCount,DrsZones,PitLaneLengthM,DegradationLevel,StreetCircuit,AvgTrackTemp,AvgAirTemp,AvgHumidity,RainfallMM,SafetyCarLaps,Score
5.833333333333333,17.833333333333332,3.0,3.0,1,15,C5,54,C3,0,,0,,70,4.361,14,2,404,Low,True,36.94905660377359,20.52358490566038,27.82547169811321,0.0,4,15
12.0,17.833333333333332,6.0,4.0,1,16,C5,53,C3,0,,0,,70,4.361,14,2,404,Low,True,36.94905660377359,20.52358490566038,27.82547169811321,0.0,4,16
18.333333333333332,29.666666666666668,4.0,5.0,1,15,C4,54,C3,0,,0,,70,4.361,14,2,404,Low,True,36.94905660377359,20.52358490566038,27.82547169811321,0.0,4,8
10.0,26.0,5.0,6.0,1,31,C4,38,C3,0,,0,,70,4.361,14,2,404,Low,True,36.94905660377359,20.52358490566038,27.82547169811321,0.0,4,6
4.333333333333333,7.666666666666667,7.0,7.0,1,12,C5,56,C3,0,,0,,70,4.361,14,2,404,Low,True,36.94905660377359,20.52358490566038,27.82547169811321,0.0,4,6
3.3333333333333335,7.666666666666667,9.0,8.0,1,13,C5,55,C3,0,,0,,70,4.361,14,2,404,Low,True,36.94905660377359,20.52358490566038,27.82547169811321,0.0,4,6
1.5,4.333333333333333,8.0,9.0,1,10,C5,58,C3,0,,0,,70,4.361,14,2,404,Low,True,36.94905660377359,20.52358490566038,27.82547169811321,0.0,4,0
1.5,1.8333333333333333,13.0,10.0,1,18,C4,50,C3,0,,0,,70,4.361,14,2,404,Low,True,36.94905660377359,20.52358490566038,27.82547169811321,0.0,4,2
3.0,3.1666666666666665,16.0,11.0,1,22,C5,46,C3,0,,0,,70,4.361,14,2,404,Low,True,36.94905660377359,20.52358490566038,27.82547169811321,0.0,4,0
0.0,3.1666666666666665,20.0,12.0,1,47,C4,21,C3,0,,0,,70,4.361,14,2,404,Low,True,36.94905660377359,20.52358490566038,27.82547169811321,0.0,4,0
3.1666666666666665,3.1666666666666665,11.0,13.0,1,21,C4,47,C3,0,,0,,70,4.361,14,2,404,Low,True,36.94905660377359,20.52358490566038,27.82547169811321,0.0,4,0
2.8333333333333335,4.333333333333333,10.0,14.0,2,8,C5,35,C3,25,C3,0,,70,4.361,14,2,404,Low,True,36.94905660377359,20.52358490566038,27.82547169811321,0.0,4,-1
0.3333333333333333,1.8333333333333333,19.0,15.0,0,67,C3,0,,0,,0,,70,4.361,14,2,404,Low,True,36.94905660377359,20.52358490566038,27.82547169811321,0.0,4,0
1.3333333333333333,6.666666666666667,15.0,16.0,1,47,C3,20,C5,0,,0,,70,4.361,14,2,404,Low,True,36.94905660377359,20.52358490566038,27.82547169811321,0.0,4,0
0.0,0.6666666666666666,18.0,17.0,1,25,C3,42,C4,0,,0,,70,4.361,14,2,404,Low,True,36.94905660377359,20.52358490566038,27.82547169811321,0.0,4,0
17.142857142857142,29.428571428571427,1.0,1.0,1,31,C3,20,C2,0,,0,,53,5.842,15,2,423,Low,False,42.03333333333334,24.546078431372553,49.049019607843135,0.00980392156862745,7,25
7.142857142857143,19.142857142857142,4.0,2.0,1,24,C3,28,C2,0,,0,,53,5.842,15,2,423,Low,False,42.03333333333334,24.546078431372553,49.049019607843135,0.00980392156862745,7,24
9.714285714285714,27.0,6.0,3.0,1,33,C4,19,C3,0,,0,,53,5.842,15,2,423,Low,False,42.03333333333334,24.546078431372553,49.049019607843135,0.00980392156862745,7,22
12.0,19.142857142857142,5.0,4.0,1,27,C3,25,C2,0,,0,,53,5.842,15,2,423,Low,False,42.03333333333334,24.546078431372553,49.049019607843135,0.00980392156862745,7,14
17.285714285714285,27.0,3.0,5.0,1,39,C2,13,C4,0,,0,,53,5.842,15,2,423,Low,False,42.03333333333334,24.546078431372553,49.049019607843135,0.00980392156862745,7,5
2.7142857142857144,2.7142857142857144,9.0,6.0,1,27,C4,25,C2,0,,0,,53,5.842,15,2,423,Low,False,42.03333333333334,24.546078431372553,49.049019607843135,0.00980392156862745,7,14
12.285714285714286,29.428571428571427,2.0,7.0,1,38,C2,14,C3,0,,0,,53,5.842,15,2,423,Low,False,42.03333333333334,24.546078431372553,49.049019607843135,0.00980392156862745,7,-6
3.4285714285714284,8.0,7.0,8.0,1,25,C4,27,C2,0,,0,,53,5.842,15,2,423,Low,False,42.03333333333334,24.546078431372553,49.049019607843135,0.00980392156862745,7,2
4.571428571428571,8.0,12.0,9.0,1,36,C2,16,C4,0,,0,,53,5.842,15,2,423,Low,False,42.03333333333334,24.546078431372553,49.049019607843135,0.00980392156862745,7,4
1.4285714285714286,1.7142857142857142,8.0,10.0,1,30,C4,22,C3,0,,0,,53,5.842,15,2,423,Low,False,42.03333333333334,24.546078431372553,49.049019607843135,0.00980392156862745,7,-2
0.0,2.7142857142857144,10.0,11.0,1,33,C4,18,C3,0,,0,,53,5.842,15,2,423,Low,False,42.03333333333334,24.546078431372553,49.049019607843135,0.00980392156862745,7,-1
1.1428571428571428,5.714285714285714,17.0,12.0,1,39,C3,12,C4,0,,0,,53,5.842,15,2,423,Low,False,42.03333333333334,24.546078431372553,49.049019607843135,0.00980392156862745,7,0
0.2857142857142857,1.7142857142857142,15.0,13.0,1,34,C3,17,C4,0,,0,,53,5.842,15,2,423,Low,False,42.03333333333334,24.546078431372553,49.049019607843135,0.00980392156862745,7,0
