Season,Round,Driver,Points
2019,11,NOR,22.0
2019,11,RIC,22.0
2019,11,MAG,18.0
2019,11,STR,18.0
2019,11,HUL,17.0
2019,11,ALB,15.0
2019,11,PER,13.0
2019,11,GRO,8.0
2019,11,GIO,1.0
2019,11,KUB,1.0
2019,11,RUS,0.0
2019,12,HAM,250.0
2019,12,BOT,188.0
2019,12,VER,181.0
2019,12,VET,156.0
2019,12,LEC,132.0
2019,12,GAS,63.0
2019,12,SAI,58.0
2019,12,RAI,31.0
2019,12,KVY,27.0
2019,12,NOR,24.0
2019,12,RIC,22.0
2019,12,MAG,18.0
2019,12,STR,18.0
2019,12,HUL,17.0
2019,12,ALB,16.0
2019,12,PER,13.0
2019,12,GRO,8.0
2019,12,GIO,1.0
2019,12,KUB,1.0
2019,12,RUS,0.0
2019,13,HAM,268.0
2019,13,BOT,203.0
2019,13,VER,181.0
2019,13,VET,169.0
2019,13,LEC,157.0
2019,13,GAS,65.0
2019,13,SAI,58.0
2019,13,KVY,33.0
2019,13,RAI,31.0
2019,13,ALB,26.0
2019,13,NOR,24.0
2019,13,RIC,22.0
2019,13,HUL,21.0
2019,13,PER,21.0
2019,13,STR,19.0
2019,13,MAG,18.0
2019,13,GRO,8.0
2019,13,GIO,1.0
2019,13,KUB,1.0
2019,13,RUS,0.0
2019,14,HAM,284.0
2019,14,BOT,221.0
2019,14,VER,185.0
2019,14,LEC,182.0
2019,14,VET,169.0
2019,14,GAS,65.0
2019,14,SAI,58.0
2019,14,ALB,34.0
2019,14,RIC,34.0
2019,14,KVY,33.0
2019,14,HUL,31.0
2019,14,RAI,31.0
2019,14,PER,27.0
2019,14,NOR,25.0
2019,14,STR,19.0
2019,14,MAG,18.0
2019,14,GRO,8.0
2019,14,GIO,3.0
2019,14,KUB,1.0
2019,14,RUS,0.0
2019,15,HAM,296.0
2019,15,BOT,231.0
2019,15,VER,200.0
2019,15,LEC,200.0
2019,15,VET,194.0
2019,15,GAS,69.0
2019,15,SAI,58.0
2019,15,ALB,42.0
2019,15,RIC,34.0
2019,15,HUL,33.0
2019,15,KVY,33.0
2019,15,RAI,31.0
2019,15,NOR,31.0
2019,15,PER,27.0
2019,15,STR,19.0
2019,15,MAG,18.0
2019,15,GRO,8.0
2019,15,GIO,4.0
2019,15,KUB,1.0
2019,15,RUS,0.0
2019,16,HAM,322.0
2019,16,BOT,249.0
2019,16,LEC,215.0
2019,16,VER,212.0
2019,16,VET,194.0
2019,16,GAS,69.0
2019,16,SAI,66.0
2019,16,ALB,52.0
2019,16,NOR,35.0
2019,16,HUL,34.0
2019,16,RIC,34.0
2019,16,KVY,33.0
2019,16,PER,33.0
2019,16,RAI,31.0
2019,16,MAG,20.0
2019,16,STR,19.0
2019,16,GRO,8.0
2019,16,GIO,4.0
2019,16,KUB,1.0
2019,16,RUS,0.0
2019,17,HAM,338.0
2019,17,BOT,274.0
2019,17,LEC,223.0
2019,17,VER,212.0
2019,17,VET,212.0
2019,17,SAI,76.0
2019,17,GAS,75.0
2019,17,ALB,64.0
2019,17,PER,37.0
2019,17,NOR,35.0
2019,17,HUL,34.0
2019,17,KVY,34.0
2019,17,RIC,34.0
2019,17,RAI,31.0
2019,17,STR,21.0
2019,17,MAG,20.0
2019,17,GRO,8.0
2019,17,GIO,4.0
2019,17,KUB,1.0
2019,17,RUS,0.0
2019,18,HAM,363.0
2019,18,BOT,289.0
2019,18,LEC,236.0
2019,18,VET,230.0
2019,18,VER,220.0
2019,18,GAS,77.0
2019,18,SAI,76.0
2019,18,ALB,74.0
2019,18,PER,43.0
2019,18,RIC,38.0
2019,18,HUL,35.0
2019,18,NOR,35.0
2019,18,KVY,34.0
2019,18,RAI,31.0
2019,18,STR,21.0
2019,18,MAG,20.0
2019,18,GRO,8.0
2019,18,GIO,4.0
2019,18,KUB,1.0
2019,18,RUS,0.0
2019,19,HAM,381.0
2019,19,BOT,314.0
2019,19,LEC,249.0
2019,19,VER,235.0
2019,19,VET,230.0
2019,19,ALB,84.0
2019,19,SAI,80.0
2019,19,GAS,77.0
2019,19,RIC,46.0
2019,19,PER,44.0
2019,19,NOR,41.0
2019,19,HUL,37.0
