Driver,GrandPrix,DriverPointsPerRace,TeamPointsPerRace,GridPosition,FinishPosition,PitStops,Stint1Length,Stint1Compound,Stint2Length,Stint2Compound,Stint3Length,Stint3Compound,Stint4Length,Stint4Compound,Strategy,Laps,LengthKM,TurnCount,DrsZones,PitLaneLengthM,DegradationLevel,StreetCircuit,AvgTrackTemp,AvgAirTemp,AvgHumidity,RainfallMM,SafetyCarLaps
HAR,Azerbaijan Grand Prix 2018,0.0,4.0,19.0,10.0,2,21,C4,17,C3,12,C4,0,,C4-C3-C4,51,6.003,20,2,316,Low,True,25.25175438596491,16.66140350877193,45.651754385964914,0.0,13
ERI,Azerbaijan Grand Prix 2018,0.6666666666666666,0.6666666666666666,18.0,11.0,3,17,C2,18,C4,3,C4,12,C4,C2-C4-C4-C4,51,6.003,20,2,316,Low,True,25.25175438596491,16.66140350877193,45.651754385964914,0.0,13
GAS,Azerbaijan Grand Prix 2018,4.0,4.0,17.0,12.0,2,11,C4,27,C2,12,C4,0,,C4-C2-C4,51,6.003,20,2,316,Low,True,25.25175438596491,16.66140350877193,45.651754385964914,0.0,13
MAG,Azerbaijan Grand Prix 2018,3.6666666666666665,3.6666666666666665,15.0,13.0,1,38,C2,12,C4,0,,0,,C2-C4,51,6.003,20,2,316,Low,True,25.25175438596491,16.66140350877193,45.651754385964914,0.0,13
HAM,Spanish Grand Prix 2018,17.5,27.5,1.0,1.0,1,23,C2,41,C1,0,,0,,C2-C1,66,4.655,14,2,367,High,False,32.33904761904761,16.050476190476193,52.28666666666667,0.7904761904761904,8
BOT,Spanish Grand Prix 2018,10.0,27.5,2.0,2.0,1,18,C2,47,C1,0,,0,,C2-C1,66,4.655,14,2,367,High,False,32.33904761904761,16.050476190476193,52.28666666666667,0.7904761904761904,8
VER,Spanish Grand Prix 2018,4.5,13.75,5.0,3.0,1,33,C2,32,C1,0,,0,,C2-C1,66,4.655,14,2,367,High,False,32.33904761904761,16.050476190476193,52.28666666666667,0.7904761904761904,8
VET,Spanish Grand Prix 2018,16.5,28.5,3.0,4.0,2,16,C2,24,C1,25,C1,0,,C2-C1-C1,66,4.655,14,2,367,High,False,32.33904761904761,16.050476190476193,52.28666666666667,0.7904761904761904,8
RIC,Spanish Grand Prix 2018,9.25,13.75,6.0,5.0,1,32,C2,33,C1,0,,0,,C2-C1,66,4.655,14,2,367,High,False,32.33904761904761,16.050476190476193,52.28666666666667,0.7904761904761904,8
MAG,Spanish Grand Prix 2018,2.75,2.75,7.0,6.0,1,31,C2,33,C1,0,,0,,C2-C1,66,4.655,14,2,367,High,False,32.33904761904761,16.050476190476193,52.28666666666667,0.7904761904761904,8
SAI,Spanish Grand Prix 2018,3.25,8.75,9.0,7.0,1,24,C2,40,C1,0,,0,,C2-C1,66,4.655,14,2,367,High,False,32.33904761904761,16.050476190476193,52.28666666666667,0.7904761904761904,8
ALO,Spanish Grand Prix 2018,7.0,9.0,8.0,8.0,1,20,C3,44,C1,0,,0,,C3-C1,66,4.655,14,2,367,High,False,32.33904761904761,16.050476190476193,52.28666666666667,0.7904761904761904,8
PER,Spanish Grand Prix 2018,3.75,4.0,15.0,9.0,2,25,C2,14,C1,24,C2,0,,C2-C1-C2,66,4.655,14,2,367,High,False,32.33904761904761,16.050476190476193,52.28666666666667,0.7904761904761904,8
LEC,Spanish Grand Prix 2018,2.0,2.5,14.0,10.0,1,19,C2,44,C1,0,,0,,C2-C1,66,4.655,14,2,367,High,False,32.33904761904761,16.050476190476193,52.28666666666667,0.7904761904761904,8
STR,Spanish Grand Prix 2018,1.0,1.0,18.0,11.0,1,19,C2,44,C1,0,,0,,C2-C1,66,4.655,14,2,367,High,False,32.33904761904761,16.050476190476193,52.28666666666667,0.7904761904761904,8
HAR,Spanish Grand Prix 2018,0.25,3.25,20.0,12.0,1,32,C1,31,C1,0,,0,,C1-C1,66,4.655,14,2,367,High,False,32.33904761904761,16.050476190476193,52.28666666666667,0.7904761904761904,8
ERI,Spanish Grand Prix 2018,0.5,2.5,17.0,13.0,1,34,C1,29,C2,0,,0,,C1-C2,66,4.655,14,2,367,High,False,32.33904761904761,16.050476190476193,52.28666666666667,0.7904761904761904,8
SIR,Spanish Grand Prix 2018,0.0,1.0,19.0,14.0,2,23,C1,17,C1,22,C3,0,,C1-C1-C3,66,4.655,14,2,367,High,False,32.33904761904761,16.050476190476193,52.28666666666667,0.7904761904761904,8
RIC,Monaco Grand Prix 2018,9.4,16.0,1.0,1.0,1,15,C5,61,C4,0,,0,,C5-C4,78,3.337,19,1,350,Low,True,34.60973451327434,26.640707964601766,50.892920353982305,0.12389380530973451,2
VET,Monaco Grand Prix 2018,15.6,25.2,2.0,2.0,1,15,C5,62,C4,0,,0,,C5-C4,78,3.337,19,1,350,Low,True,34.60973451327434,26.640707964601766,50.892920353982305,0.12389380530973451,2
HAM,Monaco Grand Prix 2018,19.0,30.6,3.0,3.0,1,11,C5,66,C4,0,,0,,C5-C4,78,3.337,19,1,350,Low,True,34.60973451327434,26.640707964601766,50.892920353982305,0.12389380530973451,2
RAI,Monaco Grand Prix 2018,9.6,25.2,4.0,4.0,1,16,C5,61,C4,0,,0,,C5-C4,78,3.337,19,1,350,Low,True,34.60973451327434,26.640707964601766,50.892920353982305,0.12389380530973451,2
BOT,Monaco Grand Prix 2018,11.6,30.6,5.0,5.0,1,16,C5,61,C3,0,,0,,C5-C3,78,3.337,19,1,350,Low,True,34.60973451327434,26.640707964601766,50.892920353982305,0.12389380530973451,2
OCO,Monaco Grand Prix 2018,0.2,3.6,6.0,6.0,1,22,C5,55,C3,0,,0,,C5-C3,78,3.337,19,1,350,Low,True,34.60973451327434,26.640707964601766,50.892920353982305,0.12389380530973451,2
GAS,Monaco Grand Prix 2018,2.4,2.6,10.0,7.0,1,36,C5,41,C3,0,,0,,C5-C3,78,3.337,19,1,350,Low,True,34.60973451327434,26.640707964601766,50.892920353982305,0.12389380530973451,2
HUL,Monaco Grand Prix 2018,4.4,8.2,11.0,8.0,1,49,C4,28,C5,0,,0,,C4-C5,78,3.337,19,1,350,Low,True,34.60973451327434,26.640707964601766,50.892920353982305,0.12389380530973451,2
VER,Monaco Grand Prix 2018,6.6,16.0,20.0,9.0,1,46,C4,31,C5,0,,0,,C4-C5,78,3.337,19,1,350,Low,True,34.60973451327434,26.640707964601766,50.892920353982305,0.12389380530973451,2
SAI,Monaco Grand Prix 2018,3.8,8.2,8.0,10.0,1,15,C5,62,C4,0,,0,,C5-C4,78,3.337,19,1,350,Low,True,34.60973451327434,26.640707964601766,50.892920353982305,0.12389380530973451,2
